#p2
#QuimP output - /home/baniuk/Documents/Repos/QuimP-env/QuimP-Python/data/Stack_2.stQP.csv
# Centroids are given in pixels.  Distance & speed & area measurements are scaled to micro meters
# Scale: 1.0 micro meter per pixel | Frame interval: 1.0 sec
# Frame,X-Centroid,Y-Centroid,Displacement,Dist. Traveled,Directionality,Speed,Perimeter,Elongation,Circularity,Area
1,214.40,404.53,0.00,0.00,0.00,0.00,102.17,1.11,0.938,779.00
2,213.97,403.79,0.86,0.86,1.00,0.86,111.05,1.18,0.863,847.00
3,213.98,403.85,0.80,0.92,0.87,0.06,108.64,1.16,0.891,837.00
4,214.13,403.61,0.96,1.20,0.80,0.28,107.64,1.16,0.874,806.00
5,214.22,403.75,0.80,1.38,0.58,0.18,110.59,1.12,0.831,809.00
6,213.81,403.78,0.95,1.79,0.53,0.41,107.64,1.06,0.832,767.00
7,213.87,403.96,0.78,1.98,0.39,0.19,105.69,1.03,0.863,767.00
8,213.76,403.88,0.92,2.12,0.43,0.14,104.51,1.02,0.872,758.00
9,213.75,404.00,0.84,2.24,0.37,0.12,102.87,1.04,0.878,739.00
10,213.73,403.91,0.91,2.34,0.39,0.10,108.81,1.07,0.868,818.00
11,212.99,402.47,2.50,3.96,0.63,1.62,114.81,1.19,0.771,809.00
12,212.19,401.91,3.43,4.94,0.69,0.98,120.77,1.28,0.713,828.00
13,212.63,402.34,2.82,5.56,0.51,0.62,117.58,1.24,0.774,851.00
14,212.07,402.21,3.29,6.14,0.54,0.58,123.29,1.35,0.750,907.00
15,212.50,402.10,3.08,6.58,0.47,0.44,122.99,1.37,0.743,895.00
16,212.11,400.76,4.41,7.98,0.55,1.40,126.00,1.44,0.773,976.00
17,212.16,400.91,4.26,8.13,0.52,0.15,123.17,1.39,0.809,977.00
18,212.30,401.42,3.76,8.66,0.43,0.53,119.94,1.34,0.829,949.00
19,211.72,400.97,4.46,9.39,0.47,0.73,121.69,1.41,0.827,975.00
20,210.92,400.64,5.22,10.25,0.51,0.86,124.93,1.47,0.792,984.00
21,212.12,399.54,5.48,11.88,0.46,1.63,127.29,1.56,0.783,1009.00
22,210.50,399.32,6.51,13.52,0.48,1.64,127.24,1.56,0.795,1024.00
23,210.18,398.74,7.17,14.18,0.51,0.66,129.12,1.60,0.798,1059.00
24,210.25,398.65,7.19,14.29,0.50,0.11,132.99,1.60,0.782,1101.00
25,209.42,397.86,8.33,15.44,0.54,1.15,138.52,1.72,0.749,1143.00
26,208.20,397.11,9.67,16.87,0.57,1.42,147.89,1.74,0.702,1221.00
27,208.30,397.31,9.45,17.09,0.55,0.23,148.77,1.85,0.644,1134.00
28,208.62,397.62,9.01,17.53,0.51,0.44,141.58,1.66,0.740,1181.00
29,209.04,397.79,8.61,17.98,0.48,0.45,136.64,1.62,0.773,1149.00
30,210.40,398.19,7.50,19.40,0.39,1.42,130.23,1.56,0.797,1075.00
31,209.82,398.26,7.76,19.98,0.39,0.58,128.46,1.56,0.794,1043.00
32,210.16,398.30,7.54,20.32,0.37,0.34,125.46,1.58,0.817,1024.00
33,209.94,397.62,8.22,21.03,0.39,0.71,126.05,1.61,0.796,1007.00
34,208.33,396.65,9.95,22.91,0.43,1.88,127.18,1.59,0.806,1038.00
35,207.37,396.24,10.87,23.95,0.45,1.04,124.77,1.61,0.819,1015.00
36,207.65,396.57,10.44,24.38,0.43,0.43,124.30,1.68,0.810,996.00
37,206.21,396.83,11.25,25.85,0.44,1.47,123.30,1.65,0.845,1022.00
38,205.08,396.92,12.03,26.98,0.45,1.13,120.70,1.46,0.879,1019.00
39,205.94,397.22,11.18,27.89,0.40,0.91,114.65,1.45,0.892,933.00
